score,cat,signals,penalties,year,source,pmid,doi,journal,title,authors,first_pdate,abstract
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,MR,2025,MED,40877637,10.1038/s41416-025-03143-w,British journal of cancer,Protein markers of ovarian cancer and its subtypes: insights from proteome-wide Mendelian randomisation analysis.,"Mulugeta A, Stacey D, Lumsden AL, Madakkatel I, Lee SH, Mäenpää J, Oehler MK, Hyppönen E.",2025-08-28,"<h4>Background</h4>Ovarian cancer (OC) is often diagnosed at an advanced stage when prognosis is poor. We aimed to identify blood plasma proteins predictive of OC risk.<h4>Methods</h4>We conducted proteome-wide Mendelian randomisation (MR) analyses using summary-level protein quantitative trait locus data covering 2337 plasma proteins, and genome-wide association data on OC and its subtypes (up to 25,509 cases) from the Ovarian Cancer Association Consortium. Wald ratio or inverse-variance weighted MR analysis was used as the primary method, depending on the number of instruments. We evaluated "
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,MR,2025,MED,41261583,10.1097/md.0000000000045647,Medicine,Plasma proteins and rheumatoid arthritis: A Mendelian randomization analysis.,"Lu C, Huang XX, Lu X, Huang M, Xu J.",2025-10-01,"Rheumatoid arthritis (RA) is a chronic, progressive inflammatory systemic autoimmune disease with incompletely understood etiology, causing substantial global disease burden. This study aimed to identify plasma proteins associated with RA using Mendelian randomization (MR) of large-scale plasma proteomics, providing potential biomarkers and therapeutic targets for early diagnosis and personalized treatment. We conducted a large-scale plasma proteome MR study using genetic data from 58,293 Europeans (14,361 RA patients and 43,932 controls) in a genome-wide association study. Plasma protein quan"
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,MR,2025,PPR,,10.1101/2025.10.03.25337251,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",Mendelian Randomization Identifies Circulating Proteins APOM and TNXB as Biomarkers for Steroid Sensitive Nephrotic Syndrome,"Heydari D, Langlois S, Norouzi M, Myette RL, Samuel S, Zhou S, Takano T, Butler-Laporte G, Downie ML.",2025-10-05,"<h4>ABSTRACT</h4>  <h4>Introduction</h4>  Steroid-sensitive nephrotic syndrome (SSNS) is the most common glomerular disease in children worldwide. Current treatments are not targeted and lead to serious adverse effects. We sought to identify circulating proteins associated with SSNS in European children using an unbiased two-sample Mendelian randomization (MR) and colocalization approach to inform novel drug targets for disease. <h4>Methods</h4>  We conducted a large-scale MR study using cis genetic determinants (protein quantitative trait loci, pQTL) of 1,540 circulating proteins from eight l"
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|nproteins,MR|drug-target,2025,MED,40883583,10.1038/s42003-025-08738-w,Communications biology,Efficient candidate drug target discovery through proteogenomics in a Scottish cohort.,"Kuliesius J, Timmers PRHJ, Navarro P, Klaric L, Wilson JF.",2025-08-29,"Understanding the genomic basis of human proteomic variability provides powerful tools to probe potential causal relationships of proteins and disease risk, and thus to prioritise candidate drug targets. Here, we investigated 6432 plasma proteins (1533 previously unstudied in large-scale proteomic GWAS) using the SomaLogic (v4.1) aptamer-based technology in a Scottish population from the Viking Genes study. A total of 505 significant independent protein quantitative trait loci (pQTL) were found for 455 proteins in blood plasma: 382 cis- (P < 5×10<sup>-8</sup>) and 123 trans- (P < 6.6×10<sup>-1"
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,MR,2025,MED,40991151,10.1007/s10519-025-10233-1,Behavior genetics,Proteome-Wide Mendelian Randomisation Study of Adverse Perinatal Outcomes.,"Daubney ER, Flatley C, Hwang LD, Evans DM.",2025-09-24,"Despite significant advances in pre- and postnatal care over the last century, adverse pregnancy related events still occur frequently. We used Mendelian randomisation (MR) to investigate potential causal effects of the mother's and fetal blood proteome on pregnancy related outcomes including birthweight, placental weight, preeclampsia, and sporadic miscarriage. We generated a list of genetic instruments to act as proxies for plasma proteins by combining two recent large protein GWAS (4719 proteins N = 35,559 individuals; 4775 proteins N = 10,708 individuals). We identified 1724 proteins with "
10,primary_pgwas?,prot:title|gwas:abs|cohort,,2026,MED,41826692,10.1038/s43856-026-01500-1,Communications medicine,Machine learning-based proteogenomic data modeling identifies circulating plasma biomarkers for early detection of lung cancer.,"Johnson MA, Nieves-Rodriguez S, Hou L, Huang BE, Saadatpour A, Doostparast Torshizi A.",2026-03-13,"<h4>Background</h4>Genetic aberrations are among the critical driving factors of lung cancer. Importantly, the impact of genetic variations on proteomic dysregulations with the goal of characterizing potential diagnostic biomarkers at the population-level requires additional investigation. Modeling such proteogenomic interactions is crucial in understanding early-stage biological disruptions to inform biomarker discovery, successful clinical trials, and developing effective therapeutics.<h4>Methods</h4>We investigated two complementary aspects of lung cancer risk. First, we performed a genome-"
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,MR,2025,MED,40263317,10.1038/s41467-025-58972-3,Nature communications,Genetics of circulating proteins in newborn babies at high risk of type 1 diabetes.,"Tutino M, Yu NY, Hatzikotoulas K, Park YC, Kreitmaier P, Katsoula G, Berner R, Casteels K, Elding Larsson H, Kordonouri O, Ołtarzewski M, Szypowska A, Ott R, Weiss A, Winkler C, Zapardiel-Gonzalo J, Petrera A, Hauck SM, Bonifacio E, Ziegler AG, Zeggini E.",2025-04-22,"Type 1 diabetes is a chronic, autoimmune disease characterized by the destruction of insulin-producing β-cells in the pancreas. Early detection can facilitate timely intervention, potentially delaying or preventing disease onset. Circulating proteins reflect dysregulated biological processes and offer insights into early disease mechanisms. Here, we construct a genome-wide pQTL map of 1985 proteins in 695 newborn babies (median age 2 days) at increased genetic risk of developing Type 1 diabetes. We identify 535 pQTLs (352 cis-pQTLs, 183 trans-pQTLs), 62 of which characteristic of newborns. We "
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,MR,2026,MED,42100251,10.3389/fmed.2026.1745114,Frontiers in medicine,Identification of novel protein biomarkers for knee osteoarthritis by integrating human plasma proteome: evidence from Mendelian randomization and preliminary &lt;i&gt;in vitro&lt;/i&gt; investigation.,"Huang W, Hu W, Chen J, Yuan D.",2026-04-22,"<h4>Objective</h4>This study sought to identify candidate plasma proteins with potential causal associations with knee osteoarthritis (KOA) through Mendelian randomization, and to provide preliminary biological evidence through <i>in vitro</i> experiments.<h4>Methods</h4>Two-sample Mendelian randomization (MR) was conducted utilizing genetic instruments on 4,489 plasma proteins as exposures. Protein quantitative trait locus (pQTL) data were sourced from three large-scale studies. Genetic associations with KOA were obtained from a genome-wide association study (GWAS) of the European ancestry (a"
10,likely_primary,prot:abs|gwas:title|denovo-pqtl|nproteins,MR,2024,MED,38898596,10.1111/cns.14817,CNS neuroscience & therapeutics,Identifying novel proteins for migraine by integrating proteomes from blood and CSF with genome-wide association data.,"Niu PP, Zhang R, Zhang C, Li S, Li YS.",2024-06-01,"<h4>Background</h4>Proteome-wide Mendelian randomization studies have been increasingly utilized to identify potential drug targets for diseases. We aimed to identify potential therapeutic targets for migraine and its subtypes through the application of Mendelian randomization and co-localization analysis methods.<h4>Methods</h4>We utilized cis-protein quantitative trait loci data for 1378 plasma proteins available from two studies with 7213 individuals and 35,559 individuals, respectively. Summary data for migraine and its subtypes were obtained from a genetic study involving up to 1,339,303 "
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,MR,2025,MED,40722787,10.3390/biomedicines13071717,Biomedicines,Circulating Plasma Proteins as Biomarkers for Immunotherapy Toxicity: Insights from Proteome-Wide Mendelian Randomization and Bioinformatics Analysis.,"Tang L, He W, Hu H, Liu J, Li Z.",2025-07-14,"<b>Background:</b> Immune checkpoint inhibitors (ICIs) have transformed cancer treatment, yet severe immune-related adverse events (irAEs) often necessitate immunotherapy discontinuation and cause life-threatening complications. Circulating plasma proteins, dynamically accessible and functionally linked to immunity, may predict and offer novel targets for irAEs. <b>Methods:</b> Leveraging multi-omics integration, we conducted bidirectional two-sample Mendelian randomization (MR) using protein quantitative trait loci (pQTLs) from 4998 plasma proteins and genome-wide association data of irAE phe"
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,MR,2024,MED,39422802,10.1007/s12672-024-01460-9,Discover oncology,Application of large-scale and multicohort plasma proteomics data to discover novel causal proteins in gastric cancer.,"Tang W, Ma X.",2024-10-18,"<h4>Purposes</h4>Gastric cancer (GC) is one of the most common malignant tumors threatening human beings and has a poor prognosis. Therefore, exploring unveiled biomarkers or therapeutic targets for the diagnosis and treatment of GC is crucial.<h4>Methods</h4>A total of 5772 protein quantitative trait loci (pQTL) were aggregated from four latest large-scale proteomics cohorts. Two-sample Mendelian randomization (two-sample MR) was utilized to identify the causal effect of blood plasma proteins on GC. Heterogeneity, pleiotropy, and directionality analyses were employed to evaluate proteins iden"
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,MR,2025,MED,40033250,10.1186/s12883-025-04091-x,BMC neurology,Mendelian randomization of plasma proteomics identifies novel ALS-associated proteins and their GO enrichment and KEGG pathway analyses.,"Lu C, Huang XX, Huang M, Liu C, Xu J.",2025-03-03,"<h4>Background</h4>Amyotrophic lateral sclerosis (ALS) is a progressive and fatal neurological disorder with an increasing incidence rate. Despite advances in ALS research over the years, the precise etiology and pathogenic mechanisms remain largely elusive.<h4>Objective</h4>To identify novel plasma proteins associated with ALS through Mendelian randomization methods in large-scale plasma proteomics and to provide potential biomarkers and therapeutic targets for ALS treatment.<h4>Methods</h4>This study employed a large-scale plasma proteomic Mendelian randomization approach using genetic data "
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|nproteins,MR|drug-target,2024,PPR,,10.1101/2024.01.29.24301808,"{'publisher': 'medRxiv', 'yearOfPublication': 2024}",Efficient candidate drug target discovery through proteogenomics in a Scottish cohort,"Kuliesius J, Timmers PR, Navarro P, Klaric L, Wilson JF.",2024-01-30,"Understanding the genomic basis of human proteomic variability provides powerful tools to probe potential causal relationships of proteins and disease risk, and thus to prioritise candidate drug targets. Here, we investigated 6432 plasma proteins (1533 previously unstudied in large-scale proteomic GWAS) using the SomaLogic (v4.1) aptamer-based technology in a Scottish population from the Viking Genes study. A total of 505 significant independent protein quantitative trait loci (pQTL) were found for 455 proteins in blood plasma: 382 cis -(P < 5x10 -8 ) and 123 trans -(P < 6.6x10 -12 ). Of these"
